order_id,order_date,customer_id,segment,region,state,category,sub_category,sales,quantity,discount,profit,profit_margin,calculated_cost_basis
CA-2025-100019,2024-11-04,CS-1034,Home Office,East,Jharkhand,Office Supplies,Binders,332.91,8,0.1,57.95,17.407107025922922,274.96000000000004
CA-2025-100020,2026-02-08,CS-1380,Consumer,West,Gujarat,Office Supplies,Binders,356.54,4,0.5,35.01,9.819375105177539,321.53000000000003
CA-2025-100021,2024-12-09,CS-1110,Home Office,East,Odisha,Furniture,Furnishings,361.6,2,0.0,81.38,22.505530973451325,280.22
CA-2025-100022,2025-05-06,CS-1432,Corporate,South,Kerala,Technology,Accessories,723.1,3,0.1,152.8,21.131240492324714,570.3
CA-2025-100023,2025-02-17,CS-1033,Corporate,North,Delhi,Furniture,Chairs,738.29,2,0.0,146.03,19.77949044413442,592.26
CA-2025-100024,2025-01-20,CS-1354,Consumer,West,Rajasthan,Technology,Phones,519.56,2,0.0,73.73,14.1908537993687,445.8299999999999
CA-2025-100025,2024-07-10,CS-1231,Corporate,West,Gujarat,Furniture,Tables,1322.15,3,0.1,126.1,9.537495745565932,1196.0500000000002
CA-2025-100026,2024-10-03,CS-1317,Consumer,West,Rajasthan,Technology,Accessories,791.4,7,0.0,163.37,20.64316401314127,628.03
CA-2025-100027,2024-06-09,CS-1266,Consumer,South,Kerala,Furniture,Furnishings,113.17,1,0.0,10.51,9.28691349297517,102.66
CA-2025-100028,2025-04-04,CS-1182,Consumer,South,Tamil Nadu,Furniture,Furnishings,2132.51,6,0.0,314.3,14.738500640090784,1818.2100000000003
CA-2025-100029,2024-11-09,CS-1340,Home Office,South,Kerala,Furniture,Tables,163.95,1,0.0,-35.02,-21.360170783775544,198.97
CA-2025-100030,2024-01-22,CS-1065,Corporate,West,Gujarat,Furniture,Chairs,282.26,3,0.0,25.52,9.041309431021045,256.74
CA-2025-100031,2024-09-09,CS-1333,Consumer,South,Karnataka,Office Supplies,Art,1593.19,4,0.0,275.51,17.29297823862816,1317.68
CA-2025-100032,2026-01-17,CS-1001,Consumer,East,Odisha,Furniture,Tables,966.79,8,0.0,238.23,24.64133886366222,728.56
CA-2025-100033,2025-07-14,CS-1133,Corporate,North,Punjab,Technology,Copiers,753.94,2,0.0,109.51,14.525028516858104,644.4300000000001
CA-2025-100034,2025-04-19,CS-1080,Corporate,East,Odisha,Office Supplies,Art,389.47,7,0.5,58.38,14.989601252984825,331.09000000000003
CA-2025-100035,2024-02-28,CS-1271,Corporate,East,Jharkhand,Office Supplies,Art,1269.85,3,0.1,158.16,12.455014371776194,1111.6899999999998
CA-2025-100036,2025-05-25,CS-1241,Corporate,South,Karnataka,Furniture,Furnishings,77.3,1,0.5,7.39,9.560155239327296,69.91
CA-2025-100037,2025-11-12,CS-1028,Consumer,West,Goa,Office Supplies,Art,2037.77,6,0.1,217.05,10.651349269053917,1820.72
CA-2025-100038,2025-04-20,CS-1223,Corporate,East,Bihar,Furniture,Furnishings,760.15,2,0.1,171.16,22.51660856409919,588.99
CA-2025-100039,2025-11-30,CS-1023,Consumer,North,Delhi,Technology,Phones,168.22,3,0.2,40.31,23.962667934847225,127.91
CA-2025-100040,2026-02-21,CS-1496,Home Office,South,Tamil Nadu,Office Supplies,Art,260.01,6,0.0,55.97,21.52609515018653,204.04
CA-2025-100041,2024-07-08,CS-1109,Corporate,East,Odisha,Technology,Accessories,909.58,3,0.0,50.29,5.528925438114294,859.2900000000001
CA-2025-100042,2025-11-17,CS-1107,Consumer,South,Tamil Nadu,Office Supplies,Binders,1255.39,5,0.2,215.37,17.15562494523614,1040.02
CA-2025-100043,2025-07-16,CS-1145,Consumer,North,Haryana,Technology,Copiers,945.45,3,0.0,151.13,15.98498069702258,794.32
CA-2025-100044,2025-07-20,CS-1369,Home Office,South,Telangana,Furniture,Furnishings,1634.67,7,0.0,335.03,20.495268158099186,1299.64
CA-2025-100045,2024-08-31,CS-1354,Consumer,West,Gujarat,Furniture,Tables,2948.44,7,0.1,607.71,20.611238485436367,2340.73
CA-2025-100046,2025-05-19,CS-1397,Consumer,East,Odisha,Office Supplies,Art,174.56,1,0.5,24.02,13.760311640696607,150.54
CA-2025-100047,2024-05-10,CS-1398,Corporate,East,Bihar,Technology,Accessories,250.38,6,0.1,26.92,10.751657480629444,223.45999999999998
CA-2025-100048,2025-04-29,CS-1139,Consumer,West,Goa,Office Supplies,Binders,1065.57,3,0.1,74.01,6.9455784228159585,991.56
CA-2025-100049,2025-10-08,CS-1284,Corporate,North,Delhi,Furniture,Chairs,1014.94,7,0.0,174.84,17.226634086744046,840.1
CA-2025-100050,2024-01-21,CS-1298,Consumer,North,Delhi,Office Supplies,Paper,364.29,1,0.0,38.15,10.472425814598258,326.14000000000004
CA-2025-100051,2024-06-15,CS-1480,Corporate,South,Telangana,Technology,Accessories,105.33,3,0.1,25.59,24.29507262888066,79.74
CA-2025-100052,2024-09-30,CS-1099,Consumer,East,Bihar,Furniture,Furnishings,694.22,2,0.1,41.2,5.934718100890208,653.02
CA-2025-100053,2025-01-22,CS-1317,Consumer,North,UP,Furniture,Tables,2207.64,8,0.0,536.14,24.285662517439437,1671.5
CA-2025-100054,2025-08-23,CS-1123,Home Office,West,Gujarat,Technology,Accessories,2324.28,8,0.2,346.67,14.915156521589482,1977.6100000000001
CA-2025-100055,2024-11-11,CS-1320,Corporate,West,Rajasthan,Technology,Copiers,2269.66,9,,388.83,17.13164086250804,1880.83
CA-2025-100056,2024-01-14,CS-1287,Consumer,West,Goa,Technology,Phones,1811.46,9,0.5,301.98,16.670530952932992,1509.48
CA-2025-100057,2024-08-29,CS-1081,Consumer,North,Haryana,Technology,Accessories,758.47,2,0.2,152.1,20.05352881458726,606.37
CA-2025-100058,2026-02-15,CS-1495,Corporate,West,Gujarat,Furniture,Chairs,2616.73,7,0.0,178.41,6.818051537606095,2438.32
CA-2025-100059,2024-12-11,CS-1457,Corporate,East,Bihar,Office Supplies,Art,2622.49,7,0.0,596.8,22.756998120107227,2025.6899999999998
CA-2025-100060,2025-07-18,CS-1010,Home Office,North,Punjab,Office Supplies,Paper,232.36,4,0.5,48.38,20.821139610948528,183.98000000000002
CA-2025-100061,2024-12-05,CS-1008,Home Office,North,UP,Technology,Copiers,1102.14,6,0.0,242.51,22.00355671693251,859.6300000000001
CA-2025-100062,2024-04-01,CS-1405,Corporate,East,West Bengal,Technology,Copiers,71.27,1,0.0,10.48,14.70464431036902,60.78999999999999
CA-2025-100063,2025-01-01,CS-1205,Consumer,West,Goa,Technology,Phones,812.67,6,0.5,154.05,18.95603381446344,658.6199999999999
CA-2025-100064,2025-03-30,CS-1315,Consumer,North,Delhi,Office Supplies,Fasteners,228.81,1,0.0,32.37,14.147108955028187,196.44
CA-2025-100065,2025-03-03,CS-1434,Corporate,East,Jharkhand,Furniture,Tables,772.02,5,0.0,58.73,7.607315872645787,713.29
CA-2025-100066,2025-05-23,CS-1197,Consumer,East,West Bengal,Office Supplies,Fasteners,158.05,4,0.1,17.45,11.04080987029421,140.60000000000002
CA-2025-100067,2026-02-14,CS-1198,Consumer,South,Kerala,Office Supplies,Fasteners,2238.64,6,0.2,236.58,10.568023442804561,2002.06
CA-2025-100068,2024-02-04,CS-1030,Consumer,West,Gujarat,Furniture,Tables,1226.61,5,0.2,102.06,8.32049306625578,1124.55
CA-2025-100069,2024-07-24,CS-1479,Consumer,West,Maharashtra,Technology,Copiers,761.61,5,0.1,74.84,9.826551647168499,686.77
CA-2025-100070,2024-03-21,CS-1401,Consumer,East,West Bengal,Furniture,Chairs,270.58,3,0.5,40.51,14.971542612166457,230.07
CA-2025-100071,2025-07-15,CS-1459,Consumer,North,Punjab,Furniture,Chairs,407.51,2,0.0,54.79,13.445068832666681,352.71999999999997
CA-2025-100072,2025-01-22,CS-1020,Corporate,South,Tamil Nadu,Office Supplies,Paper,1426.95,7,0.5,165.29,11.583447212586284,1261.66
CA-2025-100073,2024-01-02,CS-1048,Consumer,South,Karnataka,Technology,Phones,904.92,8,0.0,209.35,23.13464173628608,695.5699999999999
CA-2025-100074,2025-01-24,CS-1457,Consumer,North,Delhi,Office Supplies,Art,1718.68,5,0.2,353.6,20.573928829101405,1365.08
CA-2025-100075,2025-07-19,CS-1130,Consumer,South,Karnataka,Technology,Phones,1463.22,9,0.0,73.9,5.050505050505051,1389.32
CA-2025-100076,2024-04-15,CS-1293,Corporate,North,Haryana,Office Supplies,Paper,393.14,1,0.1,64.5,16.40636923233454,328.64
CA-2025-100077,2026-02-10,CS-1385,Consumer,South,Kerala,Furniture,Tables,1077.56,3,0.2,-334.0,-30.995953821596945,1411.56
CA-2025-100078,2025-04-21,CS-1132,Corporate,North,Punjab,Furniture,Furnishings,2810.93,8,0.0,170.57,6.068098458517288,2640.3599999999997
CA-2025-100079,2025-12-03,CS-1356,Home Office,East,Odisha,Technology,Phones,2242.09,5,0.0,163.22,7.279814815640763,2078.8700000000003
CA-2025-100080,2025-02-05,CS-1054,Consumer,East,Jharkhand,Office Supplies,Fasteners,752.16,2,0.0,79.51,10.570889172516488,672.65
CA-2025-100081,2025-12-30,CS-1378,Consumer,South,Tamil Nadu,Technology,Phones,727.42,9,0.0,125.67,17.276126584366665,601.75
CA-2025-100082,2025-07-09,CS-1281,Consumer,South,Tamil Nadu,Office Supplies,Fasteners,430.67,1,0.1,101.05,23.463440685443608,329.62
CA-2025-100083,2024-06-10,CS-1387,Home Office,East,West Bengal,Office Supplies,Art,278.51,3,0.1,40.99,14.717604394815268,237.51999999999998
CA-2025-100084,2024-07-20,CS-1265,Corporate,West,Gujarat,Office Supplies,Art,1009.47,4,0.0,248.79,24.645606110137,760.6800000000001
CA-2025-100085,2024-09-26,CS-1470,Home Office,North,Haryana,Furniture,Tables,1246.77,7,0.1,295.92,23.734931061863858,950.8499999999999
CA-2025-100086,2024-09-27,CS-1215,Consumer,West,Rajasthan,Office Supplies,Fasteners,722.37,4,0.0,128.2,17.747137893323366,594.1700000000001
CA-2025-100087,2025-03-31,CS-1460,Home Office,South,Karnataka,Office Supplies,Fasteners,787.95,2,0.0,111.57,14.159527888825432,676.3800000000001
CA-2025-100088,2025-04-06,CS-1458,Consumer,East,West Bengal,Technology,Copiers,305.14,2,0.0,56.85,18.63079242315003,248.29
CA-2025-100089,2025-12-27,CS-1290,Consumer,South,Tamil Nadu,Furniture,Chairs,273.46,1,0.0,56.95,20.82571491260148,216.51
CA-2025-100090,2024-09-08,CS-1043,Home Office,West,Maharashtra,Furniture,Tables,1224.59,7,0.0,292.21,23.86186397079839,932.3799999999999
CA-2025-100091,2025-12-02,CS-1074,Home Office,East,West Bengal,Furniture,Chairs,4030.23,9,0.0,808.88,20.070318567426675,3221.35
CA-2025-100092,2024-10-22,CS-1350,Consumer,East,Jharkhand,Furniture,Furnishings,137.61,2,0.2,17.66,12.833369667902042,119.95000000000002
CA-2025-100093,2025-12-25,CS-1278,Consumer,East,West Bengal,Office Supplies,Fasteners,671.94,7,0.0,99.89,14.86591064678394,572.0500000000001
CA-2025-100094,2025-12-20,CS-1326,Consumer,North,Haryana,Technology,Copiers,464.4,8,0.1,27.59,5.940999138673558,436.81
CA-2025-100095,2026-01-18,CS-1242,Consumer,South,Tamil Nadu,Office Supplies,Fasteners,1143.96,3,0.0,63.77,5.574495611734676,1080.19
CA-2025-100096,2024-12-03,CS-1130,Consumer,West,Maharashtra,Technology,Copiers,356.53,4,0.0,37.9,10.630241494404398,318.63
CA-2025-100097,2024-02-22,CS-1350,Home Office,North,UP,Office Supplies,Binders,2196.89,9,0.1,464.03,21.12213174077901,1732.86
CA-2025-100098,2026-03-02,CS-1194,Corporate,West,Gujarat,Furniture,Chairs,1388.6,4,0.1,158.09,11.384848048394067,1230.51
CA-2025-100099,2024-08-04,CS-1032,Corporate,North,Punjab,Furniture,Chairs,359.67,6,,26.39,7.337281396835989,333.28000000000003
CA-2025-100100,2026-02-02,CS-1106,Corporate,East,Odisha,Furniture,Tables,3354.71,8,0.1,406.68,12.122657398105947,2948.03
CA-2025-100101,2024-07-06,CS-1400,Corporate,North,UP,Office Supplies,Art,298.35,2,0.0,33.15,11.111111111111109,265.20000000000005
CA-2025-100102,2025-01-14,CS-1204,Corporate,South,Telangana,Office Supplies,Fasteners,398.23,1,0.0,98.71,24.78718328604073,299.52000000000004
CA-2025-100103,2025-05-07,CS-1001,Corporate,South,Kerala,Technology,Phones,1395.96,7,0.5,340.99,24.426917676724262,1054.97
CA-2025-100104,2024-02-10,CS-1245,Consumer,West,Goa,Technology,Copiers,180.69,1,0.0,35.67,19.740992860700647,145.01999999999998
CA-2025-100105,2024-06-05,CS-1072,Corporate,East,Odisha,Office Supplies,Art,1007.22,4,0.1,217.34,21.578205357320147,789.88
CA-2025-100106,2024-01-15,CS-1432,Corporate,East,Jharkhand,Technology,Phones,1436.0,5,0.1,144.71,10.077298050139277,1291.29
CA-2025-100107,2024-03-05,CS-1306,Home Office,West,Gujarat,Office Supplies,Art,427.24,2,0.0,67.31,15.754610991480197,359.93
CA-2025-100108,2025-06-04,CS-1397,Home Office,South,Karnataka,Furniture,Chairs,741.45,4,0.0,185.14,24.96999123339402,556.3100000000001
CA-2025-100109,2024-12-09,CS-1015,Consumer,South,Karnataka,Technology,Phones,2992.81,7,0.0,343.1,11.464142394605739,2649.71
CA-2025-100110,2024-05-08,CS-1053,Corporate,West,Goa,Furniture,Tables,348.63,4,0.2,86.19,24.72248515618277,262.44
CA-2025-100111,2025-10-09,CS-1428,Consumer,East,Bihar,Technology,Phones,199.76,1,0.5,17.51,8.765518622346818,182.25
CA-2025-100112,2025-04-16,CS-1008,Corporate,West,Gujarat,Office Supplies,Fasteners,439.3,4,0.0,76.45,17.40268609150922,362.85
CA-2025-100113,2024-03-03,CS-1330,Consumer,West,Goa,Office Supplies,Binders,2118.35,6,0.0,437.2,20.63870465220573,1681.1499999999999
CA-2025-100114,2024-05-18,CS-1046,Consumer,North,UP,Office Supplies,Fasteners,754.7,5,0.0,127.27,16.863654432224724,627.4300000000001
CA-2025-100115,2025-05-13,CS-1325,Consumer,West,Rajasthan,Technology,Copiers,1857.66,4,0.0,207.65,11.178041191606644,1650.01
CA-2025-100116,2025-08-15,CS-1114,Corporate,South,Tamil Nadu,Furniture,Tables,613.27,2,0.0,-211.09,-34.42040210673928,824.36
CA-2025-100117,2025-01-26,CS-1147,Consumer,West,Goa,Furniture,Furnishings,1628.54,6,0.0,147.14,9.035086642022916,1481.4
CA-2025-100118,2025-11-05,CS-1495,Home Office,East,Bihar,Office Supplies,Fasteners,927.87,6,0.0,126.24,13.605354198325195,801.63
CA-2025-100119,2025-02-22,CS-1166,Consumer,East,Odisha,Furniture,Tables,1555.47,6,0.0,164.8,10.594868432049477,1390.67
CA-2025-100120,2024-10-15,CS-1379,Home Office,South,Karnataka,Office Supplies,Art,169.1,4,0.0,25.21,14.908338261383797,143.89
CA-2025-100121,2025-01-13,CS-1139,Corporate,East,Bihar,Technology,Phones,641.92,8,0.0,81.83,12.747694416749752,560.0899999999999
CA-2025-100122,2026-02-11,CS-1117,Consumer,West,Goa,Technology,Accessories,77.28,1,0.5,6.63,8.579192546583851,70.65
CA-2025-100123,2025-05-04,CS-1299,Consumer,South,Karnataka,Technology,Phones,3801.1,8,0.0,754.05,19.83767856673068,3047.05
CA-2025-100124,2024-08-18,CS-1276,Corporate,East,Odisha,Technology,Phones,1722.66,8,0.1,146.99,8.532734259807508,1575.67
CA-2025-100125,2024-02-10,CS-1404,Corporate,West,Rajasthan,Technology,Copiers,927.93,5,0.1,147.66,15.912838252885456,780.27
CA-2025-100126,2024-01-28,CS-1277,Corporate,East,West Bengal,Technology,Copiers,3496.98,9,0.0,737.57,21.091627632986178,2759.41
CA-2025-100127,2024-05-14,CS-1338,Consumer,North,Delhi,Furniture,Furnishings,1574.59,9,0.5,230.92,14.665404962561682,1343.6699999999998
CA-2025-100128,2024-07-19,CS-1313,Consumer,East,Jharkhand,Office Supplies,Art,1207.21,4,0.1,274.49,22.737551875812827,932.72
CA-2025-100129,2026-02-18,CS-1178,Home Office,South,Karnataka,Technology,Accessories,613.58,2,0.0,83.3,13.576061801232111,530.2800000000001
CA-2025-100130,2024-02-02,CS-1330,Consumer,West,Goa,Office Supplies,Fasteners,73.68,1,0.0,17.99,24.416395222584146,55.69000000000001
CA-2025-100131,2024-02-17,CS-1354,Consumer,West,Gujarat,Technology,Phones,1611.06,8,0.0,88.58,5.498243392549005,1522.48
CA-2025-100132,2025-05-17,CS-1154,Consumer,South,Kerala,Furniture,Furnishings,1806.3,8,0.5,376.1,20.821568953108567,1430.1999999999998
CA-2025-100133,2025-02-10,CS-1414,Corporate,North,Haryana,Technology,Phones,3361.67,7,0.0,644.0,19.157145109424782,2717.67
CA-2025-100134,2025-07-27,CS-1201,Corporate,West,Maharashtra,Office Supplies,Binders,666.04,3,,114.7,17.221187916641647,551.3399999999999
CA-2025-100135,2025-12-28,CS-1366,Consumer,South,Tamil Nadu,Furniture,Furnishings,31.55,3,0.0,3.45,10.935023771790808,28.1
CA-2025-100136,2024-04-08,CS-1115,Consumer,East,Jharkhand,Furniture,Tables,2037.35,8,0.0,350.72,17.214518860284194,1686.6299999999999
CA-2025-100137,2025-11-14,CS-1159,Consumer,North,UP,Furniture,Tables,873.48,8,0.1,147.54,16.891056463799973,725.94
CA-2025-100138,2025-12-26,CS-1042,Consumer,South,Kerala,Technology,Phones,183.88,2,0.1,14.69,7.9889058081357405,169.19
CA-2025-100139,2025-06-30,CS-1247,Consumer,East,Odisha,Office Supplies,Fasteners,149.06,1,0.0,33.68,22.594928216825437,115.38
CA-2025-100140,2026-01-08,CS-1068,Home Office,West,Gujarat,Technology,Phones,70.09,1,0.0,11.0,15.694107575973748,59.09
CA-2025-100141,2025-09-04,CS-1445,Consumer,West,Rajasthan,Office Supplies,Binders,29.23,1,0.1,1.98,6.773862470065002,27.25
CA-2025-100142,2025-04-06,CS-1445,Consumer,North,Punjab,Technology,Accessories,615.34,3,0.1,78.96,12.831930314947831,536.38
CA-2025-100143,2025-10-04,CS-1326,Home Office,East,Jharkhand,Office Supplies,Art,138.65,1,0.0,12.94,9.332852506310854,125.71000000000001
CA-2025-100144,2026-02-07,CS-1334,Consumer,South,Tamil Nadu,Furniture,Chairs,975.85,8,0.1,81.7,8.372188348619153,894.15
CA-2025-100145,2024-01-05,CS-1196,Corporate,West,Goa,Furniture,Tables,853.65,8,0.1,204.26,23.927839278392785,649.39
CA-2025-100146,2024-08-05,CS-1090,Consumer,South,Telangana,Technology,Accessories,1824.15,9,0.2,337.41,18.49683414192912,1486.74
CA-2025-100147,2025-05-17,CS-1111,Consumer,South,Telangana,Office Supplies,Paper,1477.12,4,0.0,162.95,11.031602036395146,1314.1699999999998
CA-2025-100148,2026-02-05,CS-1368,Home Office,South,Kerala,Furniture,Tables,2655.07,8,0.0,-805.83,-30.350612224913093,3460.9
CA-2025-100149,2025-02-01,CS-1359,Corporate,North,Punjab,Furniture,Furnishings,3075.71,7,0.1,647.77,21.06082823153028,2427.94
CA-2025-100150,2026-03-05,CS-1145,Consumer,South,Tamil Nadu,Furniture,Tables,1648.3,4,0.1,-321.55,-19.50797791664139,1969.85
CA-2025-100151,2025-01-27,CS-1275,Corporate,North,Delhi,Technology,Accessories,107.25,1,0.5,26.49,24.699300699300696,80.76
CA-2025-100152,2024-07-25,CS-1179,Home Office,North,Haryana,Office Supplies,Paper,1225.08,3,0.0,277.22,22.628726287262875,947.8599999999999
CA-2025-100153,2024-01-15,CS-1241,Consumer,East,Bihar,Office Supplies,Paper,722.81,8,0.1,151.38,20.943263098186247,571.43
CA-2025-100154,2025-07-07,CS-1326,Corporate,West,Goa,Technology,Copiers,821.02,8,0.1,158.5,19.305254439599523,662.52
CA-2025-100155,2025-04-05,CS-1319,Home Office,South,Karnataka,Office Supplies,Binders,706.9,2,0.0,40.82,5.774508417032112,666.0799999999999
CA-2025-100156,2025-11-21,CS-1477,Consumer,East,Odisha,Technology,Copiers,813.31,7,0.0,44.31,5.448107117827152,769.0
CA-2025-100157,2025-07-28,CS-1331,Corporate,East,Jharkhand,Office Supplies,Fasteners,115.54,1,0.5,9.59,8.300155790202526,105.95
CA-2025-100158,2026-01-12,CS-1464,Corporate,East,Odisha,Technology,Accessories,671.21,4,0.0,156.65,23.33844847365206,514.5600000000001
CA-2025-100159,2024-08-28,CS-1414,Corporate,East,Odisha,Furniture,Tables,867.95,7,0.0,81.12,9.346160493115963,786.83
CA-2025-100160,2025-07-17,CS-1153,Consumer,East,Odisha,Technology,Phones,308.45,4,0.1,58.68,19.024153023180418,249.76999999999998
CA-2025-100161,2024-04-05,CS-1104,Consumer,South,Karnataka,Office Supplies,Art,1239.22,4,0.0,304.82,24.597730830683815,934.4000000000001
CA-2025-100162,2026-01-03,CS-1075,Corporate,East,Bihar,Furniture,Tables,236.46,7,0.1,56.15,23.7460881332995,180.31
CA-2025-100163,2025-04-29,CS-1128,Consumer,West,Rajasthan,Office Supplies,Binders,354.25,1,0.0,46.07,13.004940014114327,308.18
CA-2025-100164,2025-02-10,CS-1199,Consumer,North,Punjab,Office Supplies,Paper,2242.08,5,0.0,417.52,18.621993862841645,1824.56
CA-2025-100165,2024-08-18,CS-1154,Consumer,North,Delhi,Furniture,Chairs,1069.81,6,0.0,215.95,20.185827389910358,853.8599999999999
CA-2025-100166,2026-01-18,CS-1056,Consumer,West,Gujarat,Office Supplies,Paper,1189.87,7,0.2,190.27,15.990822526830664,999.5999999999999
CA-2025-100167,2025-10-16,CS-1278,Home Office,South,Tamil Nadu,Technology,Copiers,1676.56,7,0.2,259.21,15.460824545497923,1417.35
CA-2025-100168,2024-06-19,CS-1345,Consumer,North,UP,Office Supplies,Art,2119.68,7,0.1,200.73,9.46982563405797,1918.9499999999998
CA-2025-100169,2025-06-24,CS-1019,Home Office,West,Maharashtra,Office Supplies,Binders,553.91,2,0.0,102.57,18.517448682999042,451.34
CA-2025-100170,2024-02-05,CS-1159,Consumer,West,Maharashtra,Furniture,Furnishings,2089.63,6,0.0,227.27,10.87608811129243,1862.3600000000001
CA-2025-100171,2025-06-08,CS-1026,Corporate,East,Bihar,Furniture,Chairs,3655.75,9,0.0,408.42,11.171989331874444,3247.33
CA-2025-100172,2024-06-08,CS-1426,Consumer,North,Haryana,Office Supplies,Paper,3465.85,7,0.0,357.47,10.314064370933538,3108.38
CA-2025-100173,2025-11-29,CS-1169,Corporate,East,Odisha,Technology,Copiers,708.55,7,0.5,44.76,6.31712652600381,663.79
CA-2025-100174,2024-08-30,CS-1484,Corporate,South,Kerala,Technology,Accessories,592.99,2,0.0,129.7,21.87220695121334,463.29
CA-2025-100175,2024-03-26,CS-1023,Consumer,North,UP,Office Supplies,Binders,1088.26,7,0.2,242.26,22.261224339771747,846.0
CA-2025-100176,2026-03-06,CS-1047,Home Office,North,UP,Office Supplies,Binders,1139.27,9,0.0,221.87,19.47475137588105,917.4
CA-2025-100177,2025-07-31,CS-1013,Consumer,West,Gujarat,Office Supplies,Binders,748.22,3,0.5,176.24,23.55456951164096,571.98
CA-2025-100178,2025-11-12,CS-1217,Corporate,North,Haryana,Office Supplies,Paper,33.61,2,0.0,5.92,17.613805415055044,27.689999999999998
CA-2025-100179,2025-07-10,CS-1322,Home Office,South,Karnataka,Office Supplies,Art,225.19,6,0.1,40.07,17.79386296016697,185.12
CA-2025-100180,2025-07-27,CS-1194,Home Office,South,Tamil Nadu,Technology,Phones,532.24,2,0.1,121.1,22.752893431534645,411.14
CA-2025-100181,2025-10-07,CS-1144,Home Office,North,UP,Furniture,Tables,322.04,1,0.1,29.53,9.169668364178364,292.51
CA-2025-100182,2026-03-06,CS-1073,Consumer,West,Goa,Technology,Accessories,1468.52,4,0.0,201.32,13.7090403944107,1267.2
CA-2025-100183,2024-01-28,CS-1156,Consumer,South,Tamil Nadu,Furniture,Chairs,2872.45,9,0.1,548.14,19.082664624275445,2324.31
CA-2025-100184,2025-09-11,CS-1077,Consumer,East,Jharkhand,Office Supplies,Fasteners,951.39,3,0.2,98.69,10.373243359715783,852.7
CA-2025-100185,2025-07-09,CS-1419,Corporate,South,Karnataka,Technology,Accessories,899.72,3,0.2,86.12,9.57186680300538,813.6
CA-2025-100186,2024-12-05,CS-1169,Corporate,North,Punjab,Office Supplies,Fasteners,832.59,6,0.5,191.21,22.9656853913691,641.38
CA-2025-100187,2026-03-08,CS-1461,Consumer,East,West Bengal,Furniture,Chairs,1442.13,6,0.0,359.38,24.920083487619003,1082.75
CA-2025-100188,2024-11-26,CS-1287,Corporate,North,Haryana,Furniture,Chairs,2903.46,8,0.0,369.56,12.728262142409402,2533.9
CA-2025-100189,2025-10-01,CS-1085,Consumer,North,UP,Office Supplies,Paper,1770.44,6,0.2,172.3,9.73204401165812,1598.14
CA-2025-100190,2025-05-20,CS-1416,Consumer,North,UP,Furniture,Chairs,1383.6,8,0.0,181.1,13.089043076033535,1202.5
